Web Search Interest: node.js; vert.x; twisted python; eventmachine
Worldwide; 2004 - present

Interest over time
Week,node.js,vert.x,twisted python,eventmachine
Sydney (Australia),15
London (United Kingdom),15
Paris (France),12


Top cities for twisted python
City,twisted python
Beijing (China),100
San Francisco (United States),90
Moscow (Russia),67
New York (United States),33
London (United Kingdom),28
Paris (France),20

Top cities for eventmachine
City,eventmachine
San Francisco (United States),100



Top searches for node.js
nodejs,100
node js,95
node.js tutorial,90
node.js server,90
install node.js,70
express node.js,70
node.js windows,70
node.js jquery,55
node.js npm,55
npm,55
node.js mongodb,55
mongodb,55
node.js php,55
node.js ubuntu,45
node.js example,35
download node.js,35
socket.io,35
node.js json,35
socket.io node.js,35
node.js mac,35
node.js framework,35
mysql node.js,30
github node.js,30
what is node.js,30
websocket node.js,30
websocket,30
node.js module,25
node.js redis,25
redis,25
coffeescript,25
node.js coffeescript,25
heroku,20
node express,20
node.js nginx,20
heroku node.js,20
node.js request,20
node.js hosting,20
node.js chat,20
node.js database,20
node.js android,20
wiki node.js,20
node.js connect,20
npm install,20
backbone.js,20


Top searches for vert.x
vertx,100


Top searches for twisted python
python twisted server,100
twisted server,95
python server,90
twisted python tutorial,55
twisted web,50
python twisted web,50
twisted tutorial,50
python twisted example,45
python twisted windows,40
twisted for python,35
python twisted download,35
django twisted,35
twisted download,30
python network,30
twisted framework python,30
python zope,25
python socket,25
twisted framework,25
twisted reactor,25
python twisted reactor,25
python framework,25
tornado python,20
ssh python,20
python thread,20
python twisted ssh,20
twisted ssh,20
twisted matrix python,15
twisted api,15
twisted protocol,15
twisted matrix,15
python web server,15
python irc,15
python twisted irc,15
twisted python 3,15
twisted deferred,15
twisted python deferred,15
twisted network programming,15
python twisted protocol,15
python ssl,15
twisted xmlrpc,10
python network programming,10
python twisted udp,10
python http server,10
twisted python examples,10
python xmpp,10


Top searches for eventmachine
ruby eventmachine,100
rails eventmachine,30
gem eventmachine,20
eventmachine server,20
event machine,15
eventmachine http,15
eventmachine windows,10
eventmachine thin,10
sinatra eventmachine,10
eventmachine github,10
eventmachine tutorial,10
eventmachine redis,10
ruby event machine,10



Rising searches for node.js
express node.js,Breakout
install node.js,Breakout
node js,Breakout
node.js jquery,Breakout
node.js npm,Breakout
node.js server,Breakout
node.js tutorial,Breakout
node.js windows,Breakout
nodejs,Breakout
npm,Breakout


Rising searches for vert.x
vertx,Breakout


Rising searches for twisted python
django twisted,Breakout
python twisted download,Breakout
python twisted windows,Breakout
twisted for python,Breakout
twisted python tutorial,Breakout
twisted tutorial,Breakout
python server,+120%
python twisted server,+90%
python twisted example,+80%
python twisted web,+80%


Rising searches for eventmachine
event machine,Breakout
eventmachine github,Breakout
eventmachine http,Breakout
eventmachine server,Breakout
eventmachine thin,Breakout
eventmachine tutorial,Breakout
eventmachine windows,Breakout
gem eventmachine,Breakout
rails eventmachine,Breakout
ruby eventmachine,Breakout



